detector,level_pa,level_pw,duration_effect_pa,duration_effect_pw,severity_effect_pa,severity_effect_pw,duration_retained,severity_retained,verdict
lstm,0.5285392894736843,0.2997329912280702,0.4317681140350877,0.2111532894736842,0.1902582631578947,0.1757211052631579,0.4890432679253494,0.9235925018264649,prediction HOLDS
vae,0.27137092982456135,0.24984221929824557,0.40144548245614037,0.3441694298245614,0.25634926315789475,0.23429368421052627,0.8573254523101113,0.9139627761138379,prediction HOLDS
