chan_id,cls,observed,pred_step,pred_ramp,pred_spike,pred_noise,pred_generative
A-8,contextual,0.0,0.0,0.0,0.1,1.0,0.0
B-1,point,0.045841519318926,0.8420607284198095,0.8352812722721198,0.8839625000000001,0.854909358023789,0.8258088854085696
C-1,point,0.9904153354632588,0.9911053427419354,0.8296327620967743,0.7187371909279237,0.7603398185483872,0.8982096739389982
D-14,point,0.8924949290060852,0.8929605927102038,0.8897623173307707,0.9364218183459975,0.9174263996586327,0.8855933735438858
D-4,point,0.9969296898986798,0.9761,0.9762,0.9887850228653395,0.9891,0.9830538344574328
D-5,point,0.0131337010769634,0.06118749999999999,0.06118749999999999,0.06118749999999999,0.06118749999999999,0.0611874999999999
D-9,point,1.0,0.9482333333333333,0.9495833361963069,0.9709999999999999,0.9579705894187944,0.95539802312346
E-10,contextual,0.7852760736196319,0.9112945430043151,0.9110376953125,0.8842992966798733,0.8853761718750001,0.8902870857672888
E-8,point,0.6263846928499497,0.7985299990815142,0.7988880940199816,0.8057,0.8078,0.8062626694889511
F-3,contextual,0.0278940027894002,0.18195,0.1822,0.193675,0.193225,0.19545
G-1,contextual,0.0,0.0,0.0,0.08750000000000001,1.0,0.0
G-2,point,0.851063829787234,0.6585749999999999,0.6324683678783053,0.6700833333333335,0.656,0.6672890593354204
G-3,point,1.0,0.9952312500000001,0.0,0.9992812499999999,0.975288450059043,0.38965
G-4,point,0.1869158878504672,0.5389125,0.5407999999999998,0.55635,0.5548625,0.49745
M-2,contextual,0.9917355371900828,0.9818,0.8623,0.9873885987044653,0.9869542178668083,0.9869
P-1,contextual,0.7675731144176501,0.887845037154645,0.8875969270891296,0.8904339572192514,0.8890197860962569,0.8927600267379678
P-2,point,0.7348530293941212,0.8885999999999998,0.8885999999999998,0.8898,0.8913,0.8928
R-1,point,0.0220385674931129,0.10185,0.10185,0.10185,0.10185,0.10185
T-2,point,0.4220487343269458,0.2619223171421654,0.2622,0.262,0.2619,0.2614
T-5,point,0.7246376811594203,0.5765807029494199,0.566141416337196,0.6582973706550925,0.6016490754215768,0.6065082832162955
