chan_id,cls,fp_rate,admissible,calibration_monotone,T_ar_alpha_min,T_ar_alpha_max,alpha_hat_ar,predicted_f1_ar,alpha_hat_dist,predicted_f1_dist,observed_f1,abs_err_dist,abs_err_ar
A-8,contextual,0.0,True,True,1.596434461674125,20.867535864089824,0.1,0.0,0.1170617388018498,0.070487730236709,0.0,0.070487730236709,0.0
B-1,point,0.0,True,True,151316102.9510154,2013041716.0829434,1.3212280208419147,0.8258088854085696,0.9073814650980888,0.8370583836233721,0.045841519318926,0.7912168643044462,0.7799673660896436
C-1,point,0.00389,True,True,0.38603306725455416,2.0874979251255494,1.147172781512842,0.8982096739389982,0.3745939623475727,0.5637423218369849,0.9904153354632588,0.42667301362627386,0.09220566152426057
D-14,point,0.0,True,True,151186557.34999835,2165074467.0517187,1.3159256464793336,0.8855933735438858,0.932611629667282,0.8953545276474747,0.8924949290060852,0.002859598641389516,0.0069015554621993935
D-4,point,0.00368,True,True,2.004019884978455,27.12125906213762,0.6827069282089219,0.9830538344574329,1.5,0.9802,0.9969296898986798,0.016729689898679845,0.01387585544124692
D-5,point,1.0,False,False,0.5388927928314922,1.3791404519110269,1.5,0.06118749999999999,1.098421824127057,0.0611874999999999,0.0131337010769634,0.0480537989230365,0.04805379892303659
D-9,point,0.0,True,True,137334616.52734673,2062415386.7778049,1.4486167028517185,0.95539802312346,0.9008106117790208,0.9588331908610565,1.0,0.04116680913894355,0.044601976876539995
E-10,contextual,0.02087,True,False,1.017743516244808,1.3949050605612312,0.2941688001216592,0.8902870857672888,1.3481887994882136,0.8444360547537093,0.7852760736196319,0.05915998113407739,0.10501101214765685
E-8,point,0.08021,False,True,1.1058170652143553,8.027798796218555,0.14119915331469293,0.8062626694889511,0.3751188141054107,0.8042484316538085,0.6263846928499497,0.17786373880385886,0.1798779766390014
F-3,contextual,0.17576,False,True,886.0500534760824,14929.841060440871,0.1,0.19545,0.1168898238107194,0.1951825777896636,0.0278940027894002,0.1672885750002634,0.16755599721059983
G-1,contextual,0.0,True,False,0.9348304615678285,2.8764450275078604,0.1,0.0,0.5699939484973767,0.9628197169355606,0.0,0.9628197169355606,0.0
G-2,point,0.0,True,True,132050668.88360122,2140437979.6014364,0.18338288955134704,0.6672890593354204,0.7441067047423522,0.653295316232946,0.851063829787234,0.19776851355428804,0.18377477045181367
G-3,point,0.0,True,True,25350080.933116812,372971635.9500371,1.5,0.38965000000000005,1.5,0.38965,1.0,0.61035,0.61035
G-4,point,0.03026,True,False,0.848373977385551,1.1584252914749433,1.5,0.49745000000000006,1.5,0.49745,0.1869158878504672,0.3105341121495328,0.31053411214953286
M-2,contextual,0.01721,True,False,0.32828582720327204,1.1632742772461062,1.5,0.9869,0.6371801811543986,0.8306683201622987,0.9917355371900828,0.16106721702778404,0.004835537190082784
P-1,contextual,0.05588,False,False,0.9098858453709724,1.1142011249469288,0.09999999999999999,0.8927600267379678,0.2671505522912623,0.8911338236036691,0.7675731144176501,0.12356070918601902,0.12518691232031776
P-2,point,0.03973,True,False,0.6513680228329172,0.8033072688926999,1.5,0.8928,1.5,0.8928,0.7348530293941212,0.1579469706058788,0.1579469706058788
R-1,point,1.0,False,True,24741200.858853616,395283705.2027473,1.1012709389611146,0.10185,0.7455322062729604,0.10185,0.0220385674931129,0.0798114325068871,0.0798114325068871
T-2,point,0.72093,False,True,1.1426530903392242,8.263879742841326,0.1,0.2614,0.1532933408473415,0.2617908178328805,0.4220487343269458,0.1602579164940653,0.16064873432694576
T-5,point,0.0,True,True,161455446.876135,1965302719.0125268,0.4012232994883711,0.6065082832162955,0.7908928651942255,0.5763442145626814,0.7246376811594203,0.14829346659673892,0.11812939794312483
