alpha,duration,n_channels,latency_mean,p_detected,p_timely_5,p_timely_10,p_timely_20
0.1,16,20,3.1529411764705886,0.5700000000000001,0.51,0.5399999999999999,0.5700000000000001
0.25,16,20,2.599444444444444,0.6466666666666667,0.5933333333333334,0.6100000000000001,0.6466666666666667
0.5,16,20,1.4566666666666668,0.6833333333333333,0.6466666666666667,0.6666666666666667,0.6833333333333333
0.75,16,20,1.0257894736842104,0.7366666666666666,0.7,0.7166666666666666,0.7366666666666666
1.0,16,20,0.9368421052631579,0.76,0.7300000000000001,0.74,0.76
1.5,16,20,0.752,0.9,0.8600000000000001,0.8800000000000001,0.9
0.1,32,20,6.211111111111111,0.6233333333333333,0.5166666666666667,0.5366666666666666,0.59
0.25,32,20,5.2289473684210535,0.6599999999999999,0.5599999999999999,0.5933333333333334,0.6333333333333333
0.5,32,20,2.9584210526315786,0.7066666666666666,0.6566666666666666,0.6666666666666667,0.6833333333333333
0.75,32,20,2.4368421052631577,0.77,0.6966666666666665,0.7166666666666666,0.74
1.0,32,20,1.3994736842105264,0.8166666666666667,0.7466666666666667,0.7733333333333333,0.8066666666666666
1.5,32,20,1.81,0.9166666666666667,0.8366666666666667,0.8733333333333333,0.89
0.1,64,20,11.120588235294118,0.72,0.5133333333333333,0.5333333333333333,0.5833333333333334
0.25,64,20,13.486842105263158,0.7633333333333333,0.5599999999999999,0.58,0.6266666666666667
0.5,64,20,7.208421052631578,0.7999999999999999,0.6466666666666667,0.6766666666666666,0.7066666666666667
0.75,64,20,3.9505263157894737,0.7966666666666666,0.6799999999999999,0.72,0.7366666666666667
1.0,64,20,3.6631578947368424,0.8433333333333334,0.7433333333333334,0.7666666666666667,0.7966666666666666
1.5,64,20,2.5995000000000004,0.9400000000000001,0.8266666666666665,0.8533333333333333,0.8933333333333335
0.1,128,20,16.63,0.7933333333333333,0.5233333333333332,0.5533333333333333,0.6033333333333333
0.25,128,20,19.796842105263156,0.8266666666666665,0.5799999999999998,0.5966666666666667,0.6266666666666667
0.5,128,20,14.843684210526314,0.8400000000000001,0.6533333333333333,0.6666666666666667,0.6933333333333332
0.75,128,20,10.097368421052632,0.86,0.7333333333333333,0.7533333333333333,0.7633333333333334
1.0,128,20,8.046315789473685,0.8933333333333333,0.76,0.78,0.8033333333333333
1.5,128,20,7.2265,0.9733333333333334,0.8266666666666665,0.8466666666666665,0.8666666666666666
0.1,256,19,20.688125,0.8159489633173844,0.5403508771929824,0.5614035087719299,0.5977671451355663
0.25,256,19,28.404444444444444,0.8650717703349283,0.5684210526315789,0.5859649122807017,0.6188197767145137
0.5,256,19,25.922222222222224,0.9075187969924813,0.6318295739348371,0.6528822055137845,0.6844611528822055
0.75,256,19,20.86388888888889,0.9333333333333333,0.7162907268170425,0.73734335839599,0.7548872180451127
1.0,256,19,19.993157894736843,0.9359649122807019,0.7298245614035088,0.7508771929824561,0.7912280701754386
1.5,256,19,9.660526315789474,0.9894736842105264,0.8401913875598086,0.8625199362041469,0.8848484848484849
