chan_id,cls,observed,specific,channel,gridmean
A-8,contextual,0.0,0.0,0.5517533333333333,0.6499736842105264
B-1,point,0.045841519318926,0.8258088854085696,0.7978633333333334,0.6229509057327718
C-1,point,0.9904153354632588,0.8982096739389982,0.5385633333333334,0.7225112478151582
D-14,point,0.8924949290060852,0.8855933735438858,0.7718833333333334,0.7526776881489465
D-4,point,0.9969296898986798,0.9830538344574328,0.8460866666666665,0.7554622338860089
D-5,point,0.0131337010769634,0.0611874999999999,0.11335999999999999,0.590400625
D-9,point,1.0,0.95539802312346,0.8030433333333332,0.8103315678144032
E-10,contextual,0.7852760736196319,0.8902870857672888,0.5265133333333334,0.7013685645906552
E-8,point,0.6263846928499497,0.8062626694889511,0.4757199999999999,0.6665256247527451
F-3,contextual,0.0278940027894002,0.19545,0.32119333333333344,0.34055625
G-1,contextual,0.0,0.0,0.6625933333333334,0.56309875
G-2,point,0.851063829787234,0.6672890593354204,0.7240266666666666,0.35911728121412984
G-3,point,1.0,0.38965,0.09397333333333333,0.590400625
G-4,point,0.1869158878504672,0.49745,0.5809133333333333,0.5162031250000001
M-2,contextual,0.9917355371900828,0.9869,0.6576,0.8151999999999999
P-1,contextual,0.7675731144176501,0.8927600267379678,0.5993099999999999,0.6499736842105264
P-2,point,0.7348530293941212,0.8928,0.49579333333333336,0.8151999999999999
R-1,point,0.0220385674931129,0.10185,0.12001999999999999,0.609031340759965
T-2,point,0.4220487343269458,0.2614,0.10741333333333335,0.6499736842105264
T-5,point,0.7246376811594203,0.6065082832162955,0.7664466666666666,0.3259891661139933
