group,alpha,duration,n_channels,f1_mean,f1_median,f1_sd,f1_ci_lo,f1_ci_hi,latency_mean
all,0.1,16,20,0.21713500000000002,0.1323,0.21703656561922804,0.12804975,0.3118578749999999,3.1529411764705877
all,0.25,16,20,0.25463,0.18480000000000002,0.23742681110518865,0.15711925000000002,0.356825125,2.5994444444444444
all,0.5,16,20,0.289265,0.215,0.24976602161349248,0.183499625,0.39864237499999994,1.4566666666666666
all,0.75,16,20,0.32652000000000003,0.25015,0.26468007023375856,0.21731762500000001,0.44107624999999995,1.0257894736842106
all,1.0,16,20,0.34302499999999997,0.3232,0.2769687610638845,0.225929125,0.4626911250000001,0.9368421052631577
all,1.5,16,20,0.42589,0.3962,0.2821052993028257,0.305727375,0.5464452500000001,0.752
all,0.1,32,20,0.304645,0.2604,0.2672300772447041,0.1939645,0.4230732499999999,6.211111111111111
all,0.25,32,20,0.33702,0.26585000000000003,0.2838314763153805,0.21850975000000003,0.46176837499999995,5.228947368421053
all,0.5,32,20,0.38359999999999994,0.332,0.27802153078304453,0.26495975,0.5053663749999999,2.958421052631579
all,0.75,32,20,0.42422000000000004,0.38255,0.2946906524333253,0.299665625,0.5457569999999999,2.4368421052631577
all,1.0,32,20,0.4627749999999999,0.5287999999999999,0.30165327059041597,0.33183700000000005,0.588127,1.3994736842105264
all,1.5,32,20,0.529105,0.5932,0.29654728117735996,0.39893275,0.6513952500000002,1.81
all,0.1,64,20,0.44828999999999997,0.48585,0.32139039369261607,0.310197,0.583423875,11.120588235294118
all,0.25,64,20,0.4847250000000001,0.535,0.32581114302775566,0.34574400000000005,0.624196125,13.486842105263158
all,0.5,64,20,0.5309,0.5189999999999999,0.3134046098475327,0.39898937500000003,0.6630989999999998,7.208421052631578
all,0.75,64,20,0.536015,0.5132,0.30937377882799927,0.4027148750000001,0.665492875,3.9505263157894737
all,1.0,64,20,0.5680649999999999,0.61575,0.3085722610499422,0.43062300000000003,0.6948701249999999,3.663157894736842
all,1.5,64,20,0.638075,0.7402,0.29836503582903806,0.50395,0.7610552500000001,2.5995000000000004
all,0.1,128,20,0.5795,0.7661,0.36075631810493847,0.417994625,0.7246509999999999,16.63
all,0.25,128,20,0.6201199999999999,0.7759,0.3210598675112101,0.478728875,0.753467125,19.796842105263156
all,0.5,128,20,0.6352300000000001,0.79345,0.32311731794797804,0.4929675000000001,0.7674757499999999,14.843684210526314
all,0.75,128,20,0.651905,0.76015,0.30678676543711664,0.5154136250000001,0.777250375,10.097368421052632
all,1.0,128,20,0.6758850000000001,0.83045,0.32423199828290594,0.52951375,0.806242125,8.046315789473685
all,1.5,128,20,0.7425650000000001,0.8708,0.29111561869361874,0.612793625,0.8564401249999999,7.2265
all,0.1,256,19,0.6499736842105263,0.8951,0.374181879189052,0.48056250000000006,0.8031015789473686,20.688125
all,0.25,256,19,0.7102368421052632,0.8948,0.3054748274963391,0.5712869736842106,0.835548947368421,28.404444444444444
all,0.5,256,19,0.7442421052631577,0.9035,0.3055014080996636,0.5945194736842107,0.8661531578947368,25.922222222222224
all,0.75,256,19,0.7595947368421052,0.9236,0.31186135892890365,0.6155197368421051,0.8864484210526316,20.86388888888889
all,1.0,256,19,0.7678263157894737,0.9229,0.28352527193278804,0.6411151315789474,0.8854898684210528,19.993157894736843
all,1.5,256,19,0.8151999999999999,0.9257,0.2525434572064336,0.6982946052631579,0.9146844736842106,9.660526315789474
point,0.1,16,14,0.25594285714285714,0.2128,0.23351955185573026,0.1396205357142857,0.37472999999999995,2.0746153846153845
point,0.25,16,14,0.28680714285714276,0.19140000000000001,0.27523825054021755,0.15219785714285708,0.42749892857142846,0.8808333333333334
point,0.5,16,14,0.3001785714285714,0.28959999999999997,0.2533321297566358,0.1754910714285714,0.42928874999999994,0.46153846153846156
point,0.75,16,14,0.30065,0.22785,0.26049440493031706,0.17087053571428573,0.43507410714285705,0.16615384615384615
point,1.0,16,14,0.3099571428571428,0.30205,0.2570533040030824,0.18180821428571428,0.44216464285714285,0.37692307692307697
point,1.5,16,14,0.37420714285714285,0.3962,0.2457233386876879,0.2524107142857143,0.4960182142857142,0.3742857142857143
point,0.1,32,14,0.34167857142857144,0.28845,0.29954895112632113,0.19221142857142856,0.4908430357142856,4.5284615384615385
point,0.25,32,14,0.3753071428571429,0.2817,0.321620561111491,0.21742125000000007,0.5439216071428571,2.870769230769231
point,0.5,32,14,0.38532857142857146,0.3085,0.3081696821023005,0.2312285714285714,0.5409932142857142,1.7807692307692309
point,0.75,32,14,0.39372857142857143,0.34995,0.3064217064729622,0.23554249999999996,0.5468885714285713,0.8076923076923077
