axis,held_fixed,frm,to,d_f1,d_precision,d_recall,precision_share,recall_lo,recall_hi,precision_lo,precision_hi
duration,alpha=0.1,16.0,256.0,0.4328386842105264,0.4322823684210526,0.2457994736842105,0.6375076599587614,0.56999,0.8157894736842105,0.172265,0.6045473684210526
duration,alpha=0.25,16.0,256.0,0.45560684210526314,0.49721052631578944,0.21648789473684205,0.6966675442303141,0.64667,0.863157894736842,0.20249999999999999,0.6997105263157894
duration,alpha=0.5,16.0,256.0,0.4549771052631578,0.4581894736842106,0.2236807894736842,0.6719598997648496,0.683335,0.9070157894736842,0.24619999999999997,0.7043894736842106
duration,alpha=0.75,16.0,256.0,0.4330747368421052,0.4303821052631578,0.1966665789473684,0.6863615475168763,0.736665,0.9333315789473684,0.27246000000000004,0.7028421052631578
duration,alpha=1.0,16.0,256.0,0.42480131578947367,0.43523552631578943,0.17508421052631584,0.7131270710132522,0.76,0.9350842105263159,0.28947500000000004,0.7247105263157895
duration,alpha=1.5,16.0,256.0,0.38930999999999993,0.4097397368421053,0.0894786842105264,0.8207624549954401,0.899995,0.9894736842105264,0.347255,0.7569947368421053
severity,d=16,0.1,1.5,0.208755,0.17498999999999998,0.330005,0.34651828235923127,0.56999,0.899995,0.172265,0.347255
severity,d=32,0.1,1.5,0.22446000000000005,0.19956000000000002,0.29334000000000005,0.40486914181375533,0.623335,0.916675,0.25726499999999997,0.456825
severity,d=64,0.1,1.5,0.18978499999999998,0.17045999999999994,0.21999000000000002,0.43657318478678436,0.720005,0.939995,0.40522,0.57568
severity,d=128,0.1,1.5,0.16306500000000002,0.15241499999999997,0.17999999999999994,0.4585081900636253,0.793335,0.973335,0.533235,0.68565
severity,d=256,0.1,1.5,0.16522631578947355,0.15244736842105266,0.17368421052631589,0.4674412975066569,0.8157894736842105,0.9894736842105264,0.6045473684210526,0.7569947368421053
