chan_id,spacecraft,anomaly_class,detector,alpha,duration,f1_pa,f1_pw,p_pa,p_pw,r_pa,r_pw,latency,n_replicas,fp_rate_no_injection
P-1,SMAP,"[contextual, contextual, contextual]",lstm,1.0,64,0.5573,0.0858,0.43,0.0788,0.8,0.0948,3.73,5,
P-1,SMAP,"[contextual, contextual, contextual]",vae,1.0,64,0.1806,0.1278,0.1674,0.1239,0.2,0.1354,18.0,5,
P-1,SMAP,"[contextual, contextual, contextual]",lstm,1.0,128,0.804,0.1565,0.6723,0.203,1.0,0.1276,23.73,5,
P-1,SMAP,"[contextual, contextual, contextual]",vae,1.0,128,0.2054,0.1394,0.2181,0.1656,0.2,0.1245,32.75,5,
P-1,SMAP,"[contextual, contextual, contextual]",lstm,1.0,256,0.9023,0.2312,0.8219,0.4166,1.0,0.1607,25.2,5,
P-1,SMAP,"[contextual, contextual, contextual]",vae,1.0,256,0.5945,0.2669,0.7084,0.6062,0.5333,0.1773,66.75,5,
P-1,SMAP,"[contextual, contextual, contextual]",lstm,1.5,16,0.3187,0.1526,0.1896,0.0924,1.0,0.4375,2.67,5,
P-1,SMAP,"[contextual, contextual, contextual]",vae,1.5,16,0.1433,0.1433,0.0919,0.0919,0.3333,0.3333,0.0,5,
P-1,SMAP,"[contextual, contextual, contextual]",lstm,1.5,32,0.4896,0.2172,0.3241,0.152,1.0,0.3812,4.33,5,
P-1,SMAP,"[contextual, contextual, contextual]",vae,1.5,32,0.2283,0.2269,0.1699,0.1688,0.4,0.3979,0.0,5,
P-1,SMAP,"[contextual, contextual, contextual]",lstm,1.5,64,0.6653,0.3177,0.4985,0.2718,1.0,0.3833,5.13,5,
P-1,SMAP,"[contextual, contextual, contextual]",vae,1.5,64,0.3922,0.3922,0.3368,0.3368,0.5333,0.5333,0.0,5,
P-1,SMAP,"[contextual, contextual, contextual]",lstm,1.5,128,0.8069,0.4646,0.6763,0.4805,1.0,0.4521,3.0,5,
P-1,SMAP,"[contextual, contextual, contextual]",vae,1.5,128,0.7466,0.7062,0.6667,0.6466,0.8667,0.8026,2.33,5,
P-1,SMAP,"[contextual, contextual, contextual]",lstm,1.5,256,0.9058,0.5103,0.8278,0.6649,1.0,0.4143,1.73,5,
P-1,SMAP,"[contextual, contextual, contextual]",vae,1.5,256,0.9303,0.8083,0.8714,0.8435,1.0,0.7849,19.13,5,
E-8,SMAP,[point],lstm,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0.00337
E-8,SMAP,[point],vae,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0.0
E-8,SMAP,[point],lstm,0.1,16,0.1542,0.0118,0.183,0.0201,0.1333,0.0083,0.0,5,
E-8,SMAP,[point],vae,0.1,16,0.0,0.0,0.0,0.0,0.0,0.0,,5,
E-8,SMAP,[point],lstm,0.1,32,0.3755,0.0207,0.4396,0.0596,0.3333,0.0125,5.17,5,
E-8,SMAP,[point],vae,0.1,32,0.0,0.0,0.0,0.0,0.0,0.0,,5,
