chan_id,monotone,T_alpha_0.1,T_alpha_0.25,T_alpha_0.5,T_alpha_0.75,T_alpha_1.0,T_alpha_1.5
A-8,True,3.483909452762725,7.785264387182198,21.800539062817236,27.05329977127706,37.85701186450513,67.92940593267193
B-1,True,0.8297780712106766,1.1453386788140223,1.9488741239965666,2.8104280376081663,3.8079803170658124,5.511372830030413
C-1,True,2.022107087425714,2.203084427788805,3.3302723937692207,5.018177304305283,6.037145826899961,8.265081215152694
D-14,True,0.829207443173033,1.1144952019667773,1.899786449522011,2.804831110891943,3.6113309068252333,5.294163206308971
D-4,True,3.102927013048748,5.362282709652091,10.142634527352415,15.749490685680552,20.260030552452346,29.949022196966727
D-5,True,203.05204716589725,508.10314335862256,1016.4828531571425,1524.890536610849,2033.2037983053865,3049.819641557371
D-9,True,0.8293884102144551,1.1644135534196627,2.0240038937074147,2.8884570267324623,3.8427078278113176,5.697973311962538
E-10,True,0.8282951523379231,1.1176433195600426,2.282496278724304,3.6497356186693306,4.772094274266662,6.527001803048339
E-8,True,2.0923937987563135,4.470204937838513,9.466745301418497,14.663712740779909,18.04702488767216,25.084537893719457
F-3,True,2329.105313826867,6142.206704429558,13390.423342162538,20606.686483112106,26764.36751898387,42526.3634494191
G-1,True,2.1517882152204897,3.11478744145068,5.328398303934013,7.50106108814637,9.587736365708247,17.81280769555053
G-2,True,0.8253065323518418,1.1666302968788018,1.9716654531182538,2.8604514726413033,3.782641356746831,5.613834278737279
G-3,True,0.8457932823598765,1.1873683701078124,1.9890170634267934,2.751438619857205,3.7339773066257225,5.678008520998918
G-4,True,1.5254393636718115,2.9710762881483004,6.09306456337676,8.843560016313171,9.870667340441273,16.38785433676019
M-2,True,2.107101088061195,2.2184450200854804,2.89283126943363,5.534529842469457,8.279325430679197,11.631361736203733
P-1,True,1.987491569777357,2.6288935905739645,4.313038868993582,6.391542636592101,9.442395738896977,22.09633560606975
P-2,True,2.6219672167758175,4.436546264357615,6.966850361662014,9.703757916058798,12.839008298863614,16.293055519563197
R-1,True,0.8286987034165973,1.1620325748319356,1.9818720589739245,2.8551056694949315,3.7603758796301494,5.293025237458431
T-2,True,5.208064319917964,14.683967965067122,28.12865178054279,43.99712025064123,59.34642999971442,108.78900019731203
T-5,True,0.8735801296541099,1.129285680147127,1.9250373390452458,2.807161204920998,3.9204089468950523,5.321046625998083
