chan_id,ar_order,cls,admissible,monotone,predicted,observed_f1,predicted_f1_dist
A-8,2,contextual,True,True,0.0,0.0,0.070487730236709
B-1,2,point,True,True,0.8283159577195477,0.045841519318926,0.8370583836233721
C-1,2,point,True,True,0.8786932684941223,0.9904153354632588,0.5637423218369849
D-14,2,point,True,True,0.8852801919349674,0.8924949290060852,0.8953545276474747
D-4,2,point,True,True,0.9830312109179344,0.9969296898986798,0.9802
D-5,2,point,False,False,0.06118749999999999,0.0131337010769634,0.0611874999999999
D-9,2,point,True,True,0.9555678890279614,1.0,0.9588331908610565
E-10,2,contextual,True,False,0.8897472767904772,0.7852760736196319,0.8444360547537093
E-8,2,point,False,True,0.8063965415449074,0.6263846928499497,0.8042484316538085
F-3,2,contextual,False,True,0.19545,0.0278940027894002,0.1951825777896636
G-1,2,contextual,True,True,0.0,0.0,0.9628197169355606
G-2,2,point,True,True,0.6679315490968206,0.851063829787234,0.653295316232946
G-3,2,point,True,True,0.38965000000000005,1.0,0.38965
G-4,2,point,True,False,0.49745000000000006,0.1869158878504672,0.49745
M-2,2,contextual,True,False,0.9869,0.9917355371900828,0.8306683201622987
P-1,2,contextual,False,False,0.890636010819338,0.7675731144176501,0.8911338236036691
P-2,2,point,True,False,0.8928,0.7348530293941212,0.8928
R-1,2,point,False,True,0.10185,0.0220385674931129,0.10185
T-2,2,point,False,True,0.2614,0.4220487343269458,0.2617908178328805
T-5,2,point,True,True,0.6092477520277813,0.7246376811594203,0.5763442145626814
A-8,4,contextual,True,True,0.0,0.0,0.070487730236709
B-1,4,point,True,True,0.8272423077765751,0.045841519318926,0.8370583836233721
C-1,4,point,True,True,0.8834738249538205,0.9904153354632588,0.5637423218369849
D-14,4,point,True,True,0.8854343978944715,0.8924949290060852,0.8953545276474747
D-4,4,point,True,True,0.9830411992393243,0.9969296898986798,0.9802
D-5,4,point,False,False,0.06118749999999999,0.0131337010769634,0.0611874999999999
D-9,4,point,True,True,0.9555869193720581,1.0,0.9588331908610565
E-10,4,contextual,True,False,0.8894640196636999,0.7852760736196319,0.8444360547537093
E-8,4,point,False,True,0.8062797960493542,0.6263846928499497,0.8042484316538085
F-3,4,contextual,False,True,0.19545,0.0278940027894002,0.1951825777896636
G-1,4,contextual,True,False,0.0,0.0,0.9628197169355606
G-2,4,point,True,True,0.6675979170647127,0.851063829787234,0.653295316232946
G-3,4,point,True,True,0.38965000000000005,1.0,0.38965
G-4,4,point,True,False,0.49745000000000006,0.1869158878504672,0.49745
M-2,4,contextual,True,False,0.9869,0.9917355371900828,0.8306683201622987
P-1,4,contextual,False,False,0.8927600267379678,0.7675731144176501,0.8911338236036691
P-2,4,point,True,False,0.8928,0.7348530293941212,0.8928
R-1,4,point,False,True,0.10185,0.0220385674931129,0.10185
T-2,4,point,False,True,0.2614,0.4220487343269458,0.2617908178328805
T-5,4,point,True,True,0.6085085047762024,0.7246376811594203,0.5763442145626814
A-8,8,contextual,True,True,0.0,0.0,0.070487730236709
B-1,8,point,True,True,0.8258088854085696,0.045841519318926,0.8370583836233721
C-1,8,point,True,True,0.8982096739389982,0.9904153354632588,0.5637423218369849
D-14,8,point,True,True,0.8855933735438858,0.8924949290060852,0.8953545276474747
D-4,8,point,True,True,0.9830538344574329,0.9969296898986798,0.9802
D-5,8,point,False,False,0.06118749999999999,0.0131337010769634,0.0611874999999999
D-9,8,point,True,True,0.95539802312346,1.0,0.9588331908610565
E-10,8,contextual,True,False,0.8902870857672888,0.7852760736196319,0.8444360547537093
E-8,8,point,False,True,0.8062626694889511,0.6263846928499497,0.8042484316538085
F-3,8,contextual,False,True,0.19545,0.0278940027894002,0.1951825777896636
G-1,8,contextual,True,False,0.0,0.0,0.9628197169355606
G-2,8,point,True,True,0.6672890593354204,0.851063829787234,0.653295316232946
G-3,8,point,True,True,0.38965000000000005,1.0,0.38965
G-4,8,point,True,False,0.49745000000000006,0.1869158878504672,0.49745
M-2,8,contextual,True,False,0.9869,0.9917355371900828,0.8306683201622987
P-1,8,contextual,False,False,0.8927600267379678,0.7675731144176501,0.8911338236036691
P-2,8,point,True,False,0.8928,0.7348530293941212,0.8928
R-1,8,point,False,True,0.10185,0.0220385674931129,0.10185
T-2,8,point,False,True,0.2614,0.4220487343269458,0.2617908178328805
T-5,8,point,True,True,0.6065082832162955,0.7246376811594203,0.5763442145626814
A-8,16,contextual,True,True,0.0,0.0,0.070487730236709
B-1,16,point,True,True,0.821750522649467,0.045841519318926,0.8370583836233721
C-1,16,point,True,True,0.9244310740345921,0.9904153354632588,0.5637423218369849
D-14,16,point,True,True,0.8865302460249525,0.8924949290060852,0.8953545276474747
D-4,16,point,True,True,0.9830684624578336,0.9969296898986798,0.9802
