chan_id,ar_order,cls,observed,mono_generative,pred_generative,mono_step,pred_step,mono_ramp,pred_ramp,mono_spike,pred_spike,mono_noise,pred_noise
A-8,8,contextual,0.0,True,0.0,False,0.0,True,0.0,True,0.1,True,1.0
B-1,8,point,0.045841519318926,True,0.8270617210255415,True,0.8420607284198095,True,0.8352812722721198,True,0.8839625000000001,True,0.8549067507995587
C-1,8,point,0.9904153354632588,True,0.8726766129490269,False,0.9911053427419354,False,0.8296327620967743,True,0.7190202264047985,True,0.7603398185483872
D-14,8,point,0.8924949290060852,True,0.888007418398128,True,0.8929605927102038,True,0.8897623173307707,True,0.9364218183459975,True,0.9174309930906143
D-4,8,point,0.9969296898986798,True,0.9831048184041697,True,0.9761,True,0.9762,True,0.9887584284930291,True,0.9891
D-5,8,point,0.0131337010769634,False,0.06118749999999999,False,0.06118749999999999,False,0.06118749999999999,True,0.06118749999999999,True,0.06118749999999999
D-9,8,point,1.0,True,0.955908262472297,True,0.9482333333333333,True,0.9495833361963069,True,0.9709999999999999,True,0.9579651255391991
E-10,8,contextual,0.7852760736196319,False,0.8974499847352068,False,0.9112964975860655,False,0.9110376953125,False,0.884719890156054,True,0.8853761718750001
E-8,8,point,0.6263846928499497,True,0.8062632926270807,False,0.7985560615227874,False,0.7988879476193725,True,0.8057,True,0.8078
F-3,8,contextual,0.0278940027894002,True,0.19545,False,0.18195,False,0.1822,True,0.193675,True,0.193225
G-1,8,contextual,0.0,False,0.0,False,0.0,False,0.0,True,0.08750000000000001,True,1.0
G-2,8,point,0.851063829787234,True,0.6666997477393222,True,0.6585749999999999,True,0.6324683678783053,True,0.6700833333333335,True,0.656
G-3,8,point,1.0,True,0.38965000000000005,True,0.9952312500000001,True,0.0,True,0.9992812499999999,True,0.9749561481174058
G-4,8,point,0.1869158878504672,False,0.49745000000000006,False,0.5389125,False,0.5407999999999998,False,0.55635,True,0.5548625
M-2,8,contextual,0.9917355371900828,False,0.9869,False,0.9818,False,0.8623,True,0.9874210124717648,True,0.9869582281694984
P-1,8,contextual,0.7675731144176501,False,0.8899931087226762,False,0.8883967048238878,False,0.8874838757350177,False,0.8904339572192514,True,0.8890197860962569
P-2,8,point,0.7348530293941212,False,0.8928,False,0.8885999999999998,False,0.8885999999999998,False,0.8898,True,0.8913
R-1,8,point,0.0220385674931129,True,0.10184999999999997,False,0.10185,True,0.10185,True,0.10185,True,0.10185
T-2,8,point,0.4220487343269458,True,0.2614,False,0.2619209425995419,False,0.2622,True,0.262,True,0.2619
T-5,8,point,0.7246376811594203,True,0.6077859914322965,True,0.5765807029494199,True,0.566141416337196,True,0.6582973706550925,True,0.6016687441289541
