alpha,duration,n,mean,lo,hi,sd,quantity
1.0,256,19,0.9359649122807019,0.8359649122807017,0.9956140350877194,0.20063657627035972,pdet
1.5,256,19,0.9894736842105264,0.9684210526315788,1.0,0.045883146774112336,pdet
0.1,16,20,0.51,0.31666666666666665,0.7033333333333334,0.45948101921357304,p5
0.25,16,20,0.5933333333333334,0.3966666666666666,0.78,0.449509154002634,p5
0.5,16,20,0.6466666666666667,0.4666666666666667,0.8133333333333332,0.4029714194732434,p5
0.75,16,20,0.7,0.5333333333333333,0.8533333333333333,0.3768133544522636,p5
1.0,16,20,0.7300000000000001,0.57325,0.8766666666666666,0.34908401441888887,p5
1.5,16,20,0.8600000000000001,0.7700000000000001,0.9400000000000001,0.1981198172528536,p5
0.1,32,20,0.5166666666666667,0.32,0.7133333333333334,0.45209066005866644,p5
0.25,32,20,0.5599999999999999,0.37,0.7533333333333333,0.4461138238831533,p5
0.5,32,20,0.6566666666666666,0.4800000000000001,0.8233333333333335,0.4019106414897347,p5
0.75,32,20,0.6966666666666665,0.5365833333333333,0.8466666666666667,0.3711685356699097,p5
1.0,32,20,0.7466666666666667,0.6100000000000001,0.8666666666666668,0.30327645504907647,p5
1.5,32,20,0.8366666666666667,0.7299999999999999,0.9299999999999999,0.2364206776957237,p5
0.1,64,20,0.5133333333333333,0.32,0.7166666666666667,0.46546210453723724,p5
0.25,64,20,0.5599999999999999,0.36,0.7533333333333334,0.4651101862786032,p5
0.5,64,20,0.6466666666666667,0.4766666666666667,0.8133333333333332,0.3917870289116165,p5
0.75,64,20,0.6799999999999999,0.5133333333333333,0.8333333333333334,0.3805812728750035,p5
1.0,64,20,0.7433333333333334,0.6,0.8733333333333334,0.3210181172129501,p5
1.5,64,20,0.8266666666666665,0.7233333333333334,0.9199999999999999,0.23235383382584257,p5
0.1,128,20,0.5233333333333332,0.32666666666666666,0.73,0.46655387108016055,p5
0.25,128,20,0.5799999999999998,0.39,0.7666666666666667,0.44014883181947306,p5
0.5,128,20,0.6533333333333333,0.4766666666666667,0.8133333333333332,0.3985940202542634,p5
0.75,128,20,0.7333333333333333,0.5833333333333334,0.8700000000000001,0.3392458095514897,p5
1.0,128,20,0.76,0.6166666666666667,0.89,0.31891629362448903,p5
1.5,128,20,0.8266666666666665,0.7099999999999999,0.9266666666666665,0.25445734025902245,p5
0.1,256,19,0.5403508771929824,0.3403508771929825,0.7368421052631579,0.44770732108613776,p5
0.25,256,19,0.5684210526315789,0.3719298245614035,0.7543859649122807,0.44353708548308607,p5
0.5,256,19,0.6318295739348371,0.4318295739348372,0.8177944862155387,0.4487379144634361,p5
0.75,256,19,0.7162907268170425,0.5593984962406015,0.8607142857142848,0.35318910542535953,p5
1.0,256,19,0.7298245614035088,0.5649122807017544,0.8807017543859648,0.3593366207576732,p5
1.5,256,19,0.8401913875598086,0.7170653907496013,0.9438596491228071,0.26196661933773796,p5
0.1,16,20,0.5399999999999999,0.35333333333333333,0.7233333333333334,0.4395106263143985,p10
0.25,16,20,0.6100000000000001,0.42000000000000004,0.7866666666666667,0.43002787887320415,p10
0.5,16,20,0.6666666666666667,0.4900000000000001,0.8266666666666665,0.39470175282637215,p10
0.75,16,20,0.7166666666666666,0.5566666666666666,0.8633333333333333,0.36120331706299424,p10
1.0,16,20,0.74,0.5866666666666667,0.8800000000000001,0.339176850142392,p10
1.5,16,20,0.8800000000000001,0.7933333333333332,0.9566666666666667,0.1917600840231392,p10
0.1,32,20,0.5366666666666666,0.33999999999999997,0.7300000000000001,0.45291776618275487,p10
0.25,32,20,0.5933333333333334,0.41,0.7799999999999999,0.43036771982690086,p10
0.5,32,20,0.6666666666666667,0.49333333333333335,0.8300000000000001,0.39470175282637215,p10
0.75,32,20,0.7166666666666666,0.5599999999999999,0.8600000000000001,0.35466811765960937,p10
1.0,32,20,0.7733333333333333,0.6366666666666666,0.8966666666666667,0.30466163764132237,p10
1.5,32,20,0.8733333333333333,0.7733333333333332,0.9533333333333334,0.21618705350983247,p10
0.1,64,20,0.5333333333333333,0.3466666666666667,0.7300000000000001,0.4516376957109919,p10
0.25,64,20,0.58,0.38333333333333336,0.7699999999999999,0.45581364818458986,p10
0.5,64,20,0.6766666666666666,0.51,0.8366666666666667,0.38160939584102493,p10
0.75,64,20,0.72,0.56,0.86,0.3518372829650242,p10
1.0,64,20,0.7666666666666667,0.6266666666666667,0.8933333333333332,0.3093097389670798,p10
1.5,64,20,0.8533333333333333,0.7533333333333333,0.9400000000000001,0.21908902300206645,p10
0.1,128,20,0.5533333333333333,0.3699166666666667,0.7433333333333334,0.43908464063028546,p10
0.25,128,20,0.5966666666666667,0.41,0.78,0.4323064756499593,p10
0.5,128,20,0.6666666666666667,0.48999999999999994,0.8266666666666665,0.3982417497300731,p10
0.75,128,20,0.7533333333333333,0.6066666666666667,0.8866666666666667,0.3323494250798054,p10
1.0,128,20,0.78,0.6433333333333333,0.9000833333333322,0.3044312115619872,p10
1.5,128,20,0.8466666666666665,0.73,0.9433333333333334,0.24765567494675617,p10
0.1,256,19,0.5614035087719299,0.3649122807017544,0.7543859649122806,0.4440641647961929,p10
0.25,256,19,0.5859649122807017,0.3929824561403509,0.7684210526315789,0.43180868384180926,p10
0.5,256,19,0.6528822055137845,0.4596491228070176,0.8315789473684211,0.428579937413599,p10
0.75,256,19,0.73734335839599,0.580952380952381,0.8777694235588962,0.3479677281421468,p10
1.0,256,19,0.7508771929824561,0.5964912280701754,0.8912280701754386,0.33836360401942794,p10
1.5,256,19,0.8625199362041469,0.7432216905901117,0.957272727272727,0.2460258772955951,p10
0.1,16,20,0.5700000000000001,0.3933333333333333,0.7433333333333334,0.4168806468093842,p20
0.25,16,20,0.6466666666666667,0.4666666666666666,0.8133333333333332,0.4087350333472531,p20
0.5,16,20,0.6833333333333333,0.5133333333333333,0.8399999999999999,0.38319982419510307,p20
0.75,16,20,0.7366666666666666,0.5800000000000001,0.8733333333333334,0.34300017901892926,p20
1.0,16,20,0.76,0.61,0.8933333333333333,0.32616861423546056,p20
1.5,16,20,0.9,0.8133333333333332,0.9733333333333333,0.18669172764102496,p20
0.1,32,20,0.59,0.4066666666666666,0.7667499999999989,0.4212346097974715,p20
0.25,32,20,0.6333333333333333,0.4533333333333333,0.8099999999999999,0.4174553938422083,p20
0.5,32,20,0.6833333333333333,0.5166666666666667,0.8400000000000001,0.3776659621244261,p20
0.75,32,20,0.74,0.5866666666666667,0.8799999999999999,0.34055338522342504,p20
1.0,32,20,0.8066666666666666,0.6766666666666666,0.9199999999999999,0.2835860585987593,p20
1.5,32,20,0.89,0.79,0.9633333333333333,0.20664402818848873,p20
0.1,64,20,0.5833333333333334,0.4066666666666666,0.7667499999999988,0.42598355403007465,p20
0.25,64,20,0.6266666666666667,0.44666666666666666,0.8,0.4196350405429246,p20
0.5,64,20,0.7066666666666667,0.55,0.8566666666666667,0.3615431513559587,p20
0.75,64,20,0.7366666666666667,0.5833333333333334,0.8700000000000001,0.33957317550193483,p20
1.0,64,20,0.7966666666666666,0.6699999999999999,0.906749999999999,0.2824081903290205,p20
1.5,64,20,0.8933333333333335,0.8033333333333333,0.9633333333333333,0.1890573723991729,p20
0.1,128,20,0.6033333333333333,0.42666666666666664,0.78,0.41123121368776366,p20
0.25,128,20,0.6266666666666667,0.44333333333333336,0.8033333333333333,0.414587796414309,p20
0.5,128,20,0.6933333333333332,0.5199999999999999,0.8466666666666665,0.38534559562835985,p20
0.75,128,20,0.7633333333333334,0.6166666666666666,0.8966666666666667,0.3326132573235294,p20
1.0,128,20,0.8033333333333333,0.6733333333333332,0.9166666666666667,0.288147947704095,p20
1.5,128,20,0.8666666666666666,0.7533333333333333,0.9533333333333335,0.23595023759234288,p20
0.1,256,19,0.5977671451355663,0.40953748006379587,0.7789473684210527,0.42434924353291065,p20
0.25,256,19,0.6188197767145137,0.4340988835725678,0.7894736842105264,0.4115012902206359,p20
0.5,256,19,0.6844611528822055,0.5022556390977444,0.8526315789473684,0.4001128654866013,p20
0.75,256,19,0.7548872180451127,0.6015037593984962,0.8917293233082707,0.3390119787650052,p20
1.0,256,19,0.7912280701754386,0.6491228070175439,0.9157894736842105,0.30466377040181786,p20
1.5,256,19,0.8848484848484849,0.7696969696969697,0.975438596491228,0.23612177904922985,p20
