anomaly_class,n_real_train,n_real_holdout,n_synth,sat_rate_real_train,sat_rate_real_holdout,sat_rate_synth,syn_to_train_median,syn_to_train_p05,syn_to_train_min,real_to_real_median,real_to_real_p01,holdout_to_train_median,ratio_syn_over_holdout,ratio_syn_over_realreal,frac_synth_below_realreal_p01
point,1123,244,2000,0.4705,0.5264187866927593,0.044,0.7818653583526611,0.012642443925142289,0.0,0.43656930327415466,0.0,0.6310587525367737,1.238973954817463,1.7909306781051189,0.0
contextual,763,337,2000,0.06565656565656566,0.0886426592797784,0.0,0.9350785911083221,0.26872849017381667,0.16641725599765778,0.3248402774333954,0.0067981908749789,0.2203809767961502,4.243009558730011,2.878579585316506,0.0
