chan_id,spacecraft,anomaly_class,n_windows,n_anom_windows,anomaly_fraction,svm_precision,svm_recall,svm_f1,ann_precision,ann_recall,ann_f1,note
S-2,MSL,[point],111,4,0.036036036036036036,1.0,1.0,1.0,0.0,0.0,0.0,ok
P-10,MSL,[point],378,11,0.0291005291005291,1.0,0.9091,0.9524,1.0,0.4545,0.625,ok
T-4,MSL,[point],135,8,0.05925925925925926,0.1579,0.75,0.2609,0.0,0.0,0.0,ok
T-5,MSL,[point],135,5,0.037037037037037035,1.0,1.0,1.0,1.0,0.8,0.8889,ok
F-7,MSL,"[contextual, contextual, contextual]",312,35,0.11217948717948718,0.8696,0.5714,0.6897,1.0,0.1429,0.25,ok
M-3,MSL,[contextual],129,19,0.14728682170542637,0.0777,0.8421,0.1422,1.0,0.0526,0.1,ok
M-4,MSL,[contextual],124,19,0.1532258064516129,0.2192,0.8421,0.3478,1.0,0.0526,0.1,ok
M-5,MSL,[contextual],140,22,0.15714285714285714,1.0,0.7727,0.8718,1.0,0.1818,0.3077,ok
P-15,MSL,[point],175,4,0.022857142857142857,1.0,0.5,0.6667,1.0,0.75,0.8571,ok
C-1,MSL,"[point, contextual]",138,26,0.18840579710144928,1.0,0.5769,0.7317,0.0,0.0,0.0,ok
C-2,MSL,"[point, contextual]",125,15,0.12,1.0,1.0,1.0,1.0,0.8,0.8889,ok
T-12,MSL,[contextual],148,11,0.07432432432432433,0.1951,0.7273,0.3077,0.0606,0.1818,0.0909,ok
T-13,MSL,"[contextual, contextual]",148,21,0.14189189189189189,1.0,0.6667,0.8,0.0094,0.0952,0.0172,ok
F-4,MSL,[point],210,7,0.03333333333333333,1.0,0.7143,0.8333,0.0,0.0,0.0,ok
F-5,MSL,[point],242,12,0.049586776859504134,0.7778,0.5833,0.6667,0.0,0.0,0.0,ok
D-14,MSL,"[point, point]",161,20,0.12422360248447205,1.0,0.95,0.9744,1.0,0.9,0.9474,ok
T-9,MSL,"[point, point]",65,13,0.2,1.0,1.0,1.0,0.0845,0.9231,0.1548,ok
P-14,MSL,[point],378,14,0.037037037037037035,1.0,0.8571,0.9231,1.0,0.7857,0.88,ok
T-8,MSL,"[contextual, contextual]",91,13,0.14285714285714285,0.1875,0.9231,0.3117,1.0,0.1538,0.2667,ok
P-11,MSL,"[point, point]",217,21,0.0967741935483871,1.0,0.8095,0.8947,1.0,0.2857,0.4444,ok
D-15,MSL,[point],131,40,0.3053435114503817,1.0,0.975,0.9873,1.0,0.8,0.8889,ok
D-16,MSL,[contextual],133,44,0.3308270676691729,1.0,0.9091,0.9524,1.0,0.1136,0.2041,ok
M-7,MSL,[point],131,9,0.06870229007633588,1.0,0.6667,0.8,0.0,0.0,0.0,ok
F-8,MSL,[contextual],152,33,0.21710526315789475,0.102,0.9091,0.1835,0.0,0.0,0.0,ok
