chan_id,spacecraft,precision,recall,f1,anomaly_rate
P-1,SMAP,0.04032258064516129,0.0066844919786096255,0.011467889908256881,8.79482657260435
S-1,SMAP,0.0,0.0,0.0,6.097394625562679
E-1,SMAP,0.0,0.0,0.0,5.9417566932832315
E-2,SMAP,0.0,0.0,0.0,16.373652133145804
E-3,SMAP,0.0,0.0,0.0,38.666185145058385
E-4,SMAP,0.0,0.0,0.0,33.64855159205171
E-5,SMAP,0.0,0.0,0.0,3.858210754762479
E-6,SMAP,1.0,0.18461538461538463,0.3116883116883117,0.783132530120482
E-7,SMAP,0.8666666666666667,0.1392857142857143,0.24,3.369434416365824
E-8,SMAP,0.0,0.0,0.0,7.290201593999063
E-9,SMAP,0.0,0.0,0.0,4.215851602023609
E-10,SMAP,0.0,0.0,0.0,3.76249265138154
E-11,SMAP,0.0,0.0,0.0,3.441390650692976
E-12,SMAP,0.0,0.0,0.0,6.825657894736842
E-13,SMAP,0.0,0.0,0.0,3.0208333333333335
A-1,SMAP,0.009722222222222222,1.0,0.01925722145804677,0.9722222222222222
D-1,SMAP,0.9887983706720977,0.8941068139963168,0.9390715667311412,38.28887060759196
P-2,SMAP,0.7511916110581506,0.643265306122449,0.693051890941073,14.922645876477036
P-3,SMAP,1.0,0.029213483146067417,0.056768558951965066,15.718827269516073
D-2,SMAP,1.0,0.9023002134218638,0.9486412365993517,49.06340895869692
D-3,SMAP,0.9578440228846733,0.9712977099236642,0.9645239539114615,37.905092592592595
D-4,SMAP,0.9996910719802286,0.9966122574684324,0.9981492905613819,38.3217278413785
A-2,SMAP,0.0,0.0,0.0,1.389941875157948
A-3,SMAP,0.0,0.0,0.0,2.2547227300426567
A-4,SMAP,0.0,0.0,0.0,1.3613861386138615
G-1,SMAP,0.0,0.0,0.0,1.4169323414806942
G-2,SMAP,1.0,0.025,0.04878048780487805,0.5434044287460943
D-5,SMAP,0.006033578174186778,0.92,0.01198853270784467,0.6554798112218143
D-6,SMAP,0.0,0.0,0.0,1.0147133434804667
D-7,SMAP,0.9996159754224271,0.9637171417993335,0.9813383600377003,35.344150745878046
F-1,SMAP,0.011976047904191617,0.02,0.0149812734082397,1.1649580615097856
P-4,SMAP,1.0,0.03409090909090909,0.06593406593406594,5.6533470384170625
G-3,SMAP,1.0,0.02,0.0392156862745098,0.6323510813203491
T-1,SMAP,0.0,0.0,0.0,17.812354853692522
T-2,SMAP,0.0,0.0,0.0,20.684057971014493
D-8,SMAP,1.0,0.02,0.0392156862745098,0.63500127000254
D-9,SMAP,1.0,0.7913419913419913,0.8835186080231996,15.595463137996218
F-2,SMAP,0.40476190476190477,0.011502029769959404,0.02236842105263158,34.26849060978437
G-4,SMAP,1.0,0.06666666666666667,0.125,0.39308176100628933
T-3,SMAP,1.0,0.01098901098901099,0.021739130434782608,2.1214593775498307
D-11,SMAP,0.0,0.0,0.0,0.8074283407347598
D-12,SMAP,0.9996121024049651,0.940854326396495,0.9693436148203874,34.592068704218235
B-1,SMAP,0.017863161442534546,0.7571428571428571,0.03490286466908133,0.870213823968175
G-6,SMAP,0.0,0.0,0.0,1.1574074074074074
G-7,SMAP,0.6333333333333333,0.3584905660377358,0.4578313253012048,3.3005355586000746
P-7,SMAP,0.7368421052631579,0.008484848484848486,0.016776512881965248,20.443563375046462
R-1,SMAP,0.011043622308117063,1.0,0.02184598580010923,1.1043622308117063
