chan_id,spacecraft,anomaly_class,epochs_run,pa_best_precision,pa_best_recall,pa_best_f1,pa_best_threshold,pa_k3_precision,pa_k3_recall,pa_k3_f1
P-15,MSL,[point],21,0.0085,1.0,0.0169,k4.0,0.0082,1.0,0.0163
C-1,MSL,"[point, contextual]",100,0.9009,0.6452,0.7519,k3.0,0.9009,0.6452,0.7519
C-2,MSL,"[point, contextual]",100,0.074,1.0,0.1378,k1.0,0.074,1.0,0.1378
T-12,MSL,[contextual],29,0.5405,1.0,0.7018,k1.5,0.0,0.0,0.0
T-13,MSL,"[contextual, contextual]",21,0.1356,0.6,0.2212,p95,0.0,0.0,0.0
F-4,MSL,[point],23,0.0843,1.0,0.1556,k4.0,0.0674,1.0,0.1264
F-5,MSL,[point],51,0.8523,1.0,0.9202,k2.5,0.8523,1.0,0.9202
D-14,MSL,"[point, point]",100,0.55,1.0,0.7097,k1.0,0.55,1.0,0.7097
T-9,MSL,"[point, point]",100,0.3198,1.0,0.4846,k3.5,0.3056,1.0,0.4681
P-14,MSL,[point],57,0.0295,1.0,0.0573,k1.0,0.0295,1.0,0.0573
T-8,MSL,"[contextual, contextual]",44,0.7692,1.0,0.8696,k4.0,0.3472,1.0,0.5155
P-11,MSL,"[point, point]",24,0.4892,1.0,0.657,k3.5,0.4297,1.0,0.6011
D-15,MSL,[point],55,0.9091,1.0,0.9524,k2.5,0.0,0.0,0.0
D-16,MSL,[contextual],29,1.0,1.0,1.0,k1.0,0.0,0.0,0.0
M-7,MSL,[point],49,0.3906,1.0,0.5618,k4.0,0.3676,1.0,0.5376
F-8,MSL,[contextual],43,1.0,1.0,1.0,k3.0,1.0,1.0,1.0
