chan_id,spacecraft,anomaly_class,alpha,duration,f1,precision,recall,latency_steps,n_replicas_valid,mean_injections_per_replica,fp_rate_no_injection
E-10,SMAP,"[contextual, contextual]",0.1,16,0.0696,0.0471,0.1333,8.5,5,3.0,
E-10,SMAP,"[contextual, contextual]",0.1,32,0.358,0.2915,0.4667,14.7,5,3.0,
E-10,SMAP,"[contextual, contextual]",0.1,64,0.7159,0.613,0.8667,35.0,5,3.0,
E-10,SMAP,"[contextual, contextual]",0.1,128,0.8864,0.796,1.0,24.6,5,3.0,
E-10,SMAP,"[contextual, contextual]",0.1,256,0.9456,0.8968,1.0,40.87,5,3.0,
E-10,SMAP,"[contextual, contextual]",0.25,16,0.1819,0.1252,0.3333,8.62,5,3.0,
E-10,SMAP,"[contextual, contextual]",0.25,32,0.259,0.1915,0.4,15.83,5,3.0,
E-10,SMAP,"[contextual, contextual]",0.25,64,0.7888,0.6513,1.0,31.13,5,3.0,
E-10,SMAP,"[contextual, contextual]",0.25,128,0.8864,0.796,1.0,37.8,5,3.0,
E-10,SMAP,"[contextual, contextual]",0.25,256,0.9447,0.8951,1.0,41.0,5,3.0,
E-10,SMAP,"[contextual, contextual]",0.5,16,0.0376,0.0262,0.0667,12.0,5,3.0,
E-10,SMAP,"[contextual, contextual]",0.5,32,0.2055,0.1677,0.2667,13.83,5,3.0,
E-10,SMAP,"[contextual, contextual]",0.5,64,0.5926,0.5402,0.6667,23.4,5,3.0,
E-10,SMAP,"[contextual, contextual]",0.5,128,0.7698,0.7505,0.8,56.1,5,3.0,
E-10,SMAP,"[contextual, contextual]",0.5,256,0.9455,0.8966,1.0,81.93,5,3.0,
E-10,SMAP,"[contextual, contextual]",0.75,16,0.1817,0.125,0.3333,3.12,5,3.0,
E-10,SMAP,"[contextual, contextual]",0.75,32,0.2891,0.2263,0.4,7.17,5,3.0,
E-10,SMAP,"[contextual, contextual]",0.75,64,0.4569,0.453,0.4667,7.0,5,3.0,
E-10,SMAP,"[contextual, contextual]",0.75,128,0.6373,0.6882,0.6,29.2,5,3.0,
E-10,SMAP,"[contextual, contextual]",0.75,256,0.8086,0.8563,0.8,96.0,5,3.0,
E-10,SMAP,"[contextual, contextual]",1.0,16,0.0746,0.0518,0.1333,2.5,5,3.0,
E-10,SMAP,"[contextual, contextual]",1.0,32,0.3699,0.2851,0.5333,3.17,5,3.0,
E-10,SMAP,"[contextual, contextual]",1.0,64,0.5413,0.5028,0.6,4.5,5,3.0,
E-10,SMAP,"[contextual, contextual]",1.0,128,0.4988,0.5438,0.4667,12.5,5,3.0,
E-10,SMAP,"[contextual, contextual]",1.0,256,0.8062,0.8508,0.8,66.87,5,3.0,
E-10,SMAP,"[contextual, contextual]",1.5,16,0.3081,0.2077,0.6,2.33,5,3.0,
E-10,SMAP,"[contextual, contextual]",1.5,32,0.5804,0.4372,0.8667,4.6,5,3.0,
E-10,SMAP,"[contextual, contextual]",1.5,64,0.5546,0.5181,0.6,7.0,5,3.0,
E-10,SMAP,"[contextual, contextual]",1.5,128,0.8035,0.7553,0.8667,21.0,5,3.0,
E-10,SMAP,"[contextual, contextual]",1.5,256,0.9433,0.8926,1.0,62.2,5,3.0,
P-2,SMAP,[point],0.0,0,0.0,0.0,0.0,,1,0.0,0.03292
P-2,SMAP,[point],0.1,16,0.0544,0.0341,0.1333,10.0,5,3.0,
P-2,SMAP,[point],0.1,32,0.0853,0.0627,0.1333,17.5,5,3.0,
P-2,SMAP,[point],0.1,64,0.3917,0.3395,0.4667,44.2,5,3.0,
P-2,SMAP,[point],0.1,128,0.7515,0.6681,0.8667,51.4,5,3.0,
P-2,SMAP,[point],0.1,256,0.8723,0.8242,0.9333,48.87,5,3.0,
P-2,SMAP,[point],0.25,16,0.1287,0.0798,0.3333,0.17,5,3.0,
P-2,SMAP,[point],0.25,32,0.078,0.0552,0.1333,9.0,5,3.0,
